,accuracy,f1,roc_auc,precision,recall,mean
airline,0.9999600000000001,0.9998627892172619,1.0,1.0,0.9911595376473039,0.9981964653729133
income,0.97912,0.9988396209151518,0.9297378412126693,0.9990099009900991,0.9978588848710472,0.9809132495977935
phishing,0.9934000000000001,0.9941097762513424,0.989306191675027,0.9933522272758741,0.9930033018667961,0.992634299413808
surgical,0.9999600000000001,0.9999209798498617,0.997270439149305,0.9867640032601669,0.9965989874893395,0.9961028819497345
