,accuracy,f1,roc_auc,precision,recall,mean
airline,0.8048,0.7813477230470784,0.8022763812385619,0.7196314868943894,0.8185490609437238,0.7853209304247507
income,0.7921199999999999,0.3769767567338434,0.6105630357684283,0.7740191539014699,0.2556831451198188,0.561872418304712
phishing,0.93072,0.9384688604759172,0.9276633610979781,0.9292995171824103,1.0,0.9452303477512611
surgical,0.78812,0.42675625035280423,0.6299202537185762,0.7475064543556317,0.3135699640530633,0.5811745844960151
