,accuracy,f1,roc_auc,precision,recall,mean
airline,0.7693599999999999,0.7429186892590719,0.776073746455362,1.0,0.7131453825205,0.8002995636469867
income,0.99924,0.23811174215578887,0.8291018572687057,1.0,0.5999862481304812,0.7332879695109952
phishing,0.99096,0.9930429130095695,0.9762406508614643,0.9915467236785005,0.9949608576947689,0.9893502290488607
surgical,0.9587200000000001,0.9105486158066715,0.5,0.9982740524781342,0.9019276337926929,0.8538940604154996
