,max_depth,max_features,acc,f1,roc
44,20.0,8,0.9448000000000001,0.9352785242850917,0.9874259386247923
45,20.0,12,0.9446000000000001,0.9351377261436895,0.9871800662817745
46,20.0,16,0.9422,0.9324678880474515,0.9868188391075272
47,20.0,20,0.9392000000000001,0.9287726171697159,0.986063864831709
48,30.0,1,0.925,0.9100832503121588,0.9793275128764636
49,30.0,2,0.931,0.9183454543454361,0.983064785836903
50,30.0,4,0.9410000000000001,0.9307559573572439,0.9863558888938829
51,30.0,6,0.9412,0.9311042290388591,0.987232316952906
52,30.0,8,0.9443999999999999,0.9349862182140101,0.9875995656725518
53,30.0,12,0.9442,0.9347501772734045,0.9871830763639963
54,30.0,16,0.9448000000000001,0.9354635005583596,0.9870091501625821
55,30.0,20,0.9388,0.9285250225324383,0.9854217241196246
56,,1,0.9226000000000001,0.9070215685044948,0.9795232942815961
57,,2,0.9350000000000002,0.9231493896636452,0.9833156317319925
58,,4,0.9416,0.9315387208745236,0.9862931537959818
59,,6,0.9411999999999999,0.9310323639497046,0.9871083967698082
60,,8,0.9443999999999999,0.9349634893161323,0.9873872471199107
61,,12,0.9436,0.9340108824908274,0.9868266690669978
62,,16,0.9426,0.932664560867455,0.9863146415162116
63,,20,0.9400000000000001,0.9295862482175838,0.9859166296179975
0,2.0,1,0.7494,0.0,0.8795885058253855
1,2.0,2,0.7494,0.0,0.8800042839093114
2,2.0,4,0.7495999999999999,0.0015936254980079682,0.885816145050417
3,2.0,6,0.764,0.1093954722567471,0.8867093824995523
4,2.0,8,0.7722,0.16732027629379925,0.8806914253714115
5,2.0,12,0.7884,0.27467952811719776,0.8857159505883896
6,2.0,16,0.8054,0.3902526370195031,0.8866546494708306
7,2.0,20,0.8176,0.48709634077086933,0.884541864502116
8,4.0,1,0.7494,0.0,0.888393087177414
9,4.0,2,0.7550000000000001,0.04305977349455611,0.8882414545070276
10,4.0,4,0.8004,0.36374787786240936,0.8904704275973099
11,4.0,6,0.8262,0.5171798985583449,0.8940558584531477
12,4.0,8,0.8335999999999999,0.5744008361550252,0.896405893954755
